Player;MP;90s;Gls;Ast;G+A;G-PK;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Sh;SoT;SoT%;Cmp%;KP;PPA;CrsPA;PrgP;SCA;GCA;Tkl;TklW;Blocks;Int;Tkl+Int;Clr;Touches;Live;Carries;TotDist;PrgDist;CPA;Rec;Won;Lost;Won%
Joaquín Piquerez;29;26.8;3;1;4;1;3.2;0.8;3.2;4.0;32;142;155;31;8;25.8;58.6;33;27;17;142;77;5;52;29;26;24;76;55;1837;1834;938;4251;1880;5;1073;18;12;60.0
Wéverton;26;26.0;0;0;0;0;0.0;0.0;0.2;0.2;0;0;0;0;0;0;37.4;1;0;0;0;5;0;1;1;0;0;1;8;815;815;474;2637;1490;0;401;0;1;0.0
Gustavo Gómez;26;24.7;2;1;3;2;2.3;2.3;1.0;3.3;9;66;15;19;5;26.3;48.9;10;9;3;66;24;1;47;24;30;33;80;136;1381;1381;740;3349;1802;0;815;84;55;60.4
Vitor Roque;32;22.6;16;3;19;15;12.5;11.8;2.6;14.4;58;31;153;77;36;46.8;66.7;34;17;4;31;94;7;19;16;16;6;25;5;641;640;420;2764;1226;33;469;18;59;23.4
Felipe Anderson;30;18.7;4;2;6;4;2.1;2.1;1.7;3.9;56;93;103;32;11;34.4;62.0;25;25;5;93;73;9;50;31;26;17;67;23;1073;1073;571;3228;1783;11;685;9;11;45.0
José Manuel López;31;20.9;10;2;12;8;10.9;9.3;2.7;12.0;49;58;108;82;31;37.8;58.0;29;18;2;58;58;9;28;19;23;6;34;16;757;755;402;2605;1282;21;531;92;81;53.2
Agustín Giay;27;20.1;0;0;0;0;0.4;0.4;1.2;1.5;32;80;84;9;1;11.1;64.9;17;11;5;80;47;2;54;40;20;14;68;51;1315;1315;641;3136;1884;1;771;21;15;58.3
Murilo Cerqueira;19;17.4;1;1;2;1;0.6;0.6;1.0;1.6;4;64;6;11;3;27.3;72.5;7;4;3;64;21;2;24;15;26;17;41;83;1122;1122;614;2657;1298;0;723;56;20;73.7
Facundo Torres;27;16.9;4;3;7;4;3.1;3.1;3.0;6.1;28;86;115;27;12;44.4;61.0;33;22;7;86;61;6;14;8;16;5;19;12;789;789;499;2545;1241;5;588;10;23;30.3
Aníbal Moreno;26;18.3;0;1;1;0;0.6;0.6;1.9;2.5;18;80;11;18;6;33.3;74.2;10;6;3;80;30;2;41;29;20;26;67;30;1110;1110;631;3376;1464;1;739;16;11;59.3
Bruno Fuchs;25;17.6;2;0;2;2;1.1;1.1;0.8;1.9;18;112;6;6;3;50.0;69.4;8;9;1;112;24;1;37;26;14;27;64;85;1192;1192;752;4600;2783;0;784;39;18;68.4
Mauricio;27;16.2;3;7;10;3;3.9;3.9;2.9;6.7;28;60;86;37;13;35.1;61.7;25;21;9;60;51;8;16;10;12;10;26;6;710;710;428;1936;862;5;497;12;25;32.4
Emiliano Martínez;23;15.0;1;0;1;1;0.7;0.7;1.2;1.9;11;66;7;14;6;42.9;72.7;9;5;0;66;26;3;35;23;17;15;50;31;859;859;502;2448;1260;2;566;22;14;61.1
Micael;15;13.6;0;1;1;0;0.3;0.3;0.1;0.4;9;37;3;7;1;14.3;64.0;3;3;2;37;10;2;25;15;9;8;33;88;827;827;481;2397;1450;0;560;39;15;72.2
Lucas Evangelista;19;11.6;2;1;3;2;1.1;1.1;0.6;1.7;11;57;26;15;7;46.7;79.4;9;5;4;57;22;3;30;19;9;6;36;9;643;643;368;1553;748;0;458;16;21;43.2
Raphael Veiga;24;11.4;2;4;6;1;2.2;1.4;3.0;4.4;13;68;44;24;7;29.2;52.2;28;15;2;68;58;7;14;5;10;6;20;10;617;616;322;1475;648;1;411;5;11;31.3
Khellven;12;9.8;0;2;2;0;0.1;0.1;1.1;1.2;7;24;44;3;1;33.3;57.9;14;11;7;24;28;3;16;10;7;7;23;26;494;494;235;1021;458;0;271;4;7;36.4
Andreas Pereira;13;10.0;2;0;2;2;0.7;0.7;1.2;1.9;6;60;17;17;6;35.3;56.8;24;7;4;60;54;4;9;4;6;6;15;8;622;622;291;1333;547;1;363;9;5;64.3
Richard Ríos;10;8.1;0;2;2;0;0.6;0.6;0.7;1.3;13;34;24;12;2;16.7;66.7;9;6;1;34;25;5;14;7;17;8;22;6;453;453;232;1286;606;3;279;7;9;43.8
Estêvão Willian;11;9.2;0;3;3;0;1.2;1.1;2.0;3.1;48;34;93;19;2;10.5;44.8;24;10;2;34;43;3;5;1;2;2;7;1;431;431;264;2403;1211;25;288;1;4;20.0
Carlos Miguel;8;8.0;0;0;0;0;0.0;0.0;0.1;0.1;0;1;0;0;0;0;49.2;1;0;0;1;3;0;0;0;1;0;0;6;270;270;162;828;429;0;117;1;0;100.0
Allan;25;9.3;1;3;4;1;1.3;1.3;0.9;2.2;25;22;58;24;8;33.3;62.5;12;5;1;22;39;5;28;18;13;8;36;17;431;431;244;1541;834;12;256;12;17;41.4
Jefté;9;6.0;0;1;1;0;0.2;0.2;0.2;0.4;10;25;38;3;0;0.0;55.9;3;4;1;25;13;1;11;8;6;2;13;25;342;342;177;871;468;1;186;12;8;60.0
Ramón Sosa;20;7.5;2;2;4;2;1.8;1.8;1.0;2.8;29;41;86;21;6;28.6;34.8;10;15;6;41;33;6;6;2;3;1;7;10;398;398;240;1774;896;10;273;16;8;66.7
Bruno Nascimento;8;3.3;2;0;2;2;0.6;0.6;0.4;1.0;7;8;28;4;3;75.0;100.0;5;6;0;8;10;1;0;0;2;0;0;0;87;87;48;339;183;3;64;1;12;7.7
Mayke;3;2.3;0;0;0;0;0.1;0.1;0.0;0.1;6;14;11;1;0;0.0;35.7;0;0;0;14;1;0;5;4;3;0;5;5;153;153;79;384;240;1;96;1;5;16.7
Vanderlan;3;2.2;0;0;0;0;0.0;0.0;0.0;0.0;2;4;7;0;0;0;20.0;0;1;1;4;1;0;6;5;7;5;11;7;111;111;38;160;49;0;53;3;4;42.9
Luighi;8;3.1;0;0;0;0;1.1;1.1;0.5;1.7;9;5;21;11;3;27.3;71.4;5;3;1;5;12;1;4;1;6;1;5;2;124;124;88;557;275;6;100;7;18;28.0
Luis Benedetti;2;2.0;0;0;0;0;0.1;0.1;0.0;0.1;0;8;0;1;0;0.0;88.9;1;2;0;8;3;0;2;1;1;2;4;8;105;105;53;195;96;0;71;5;2;71.4
Paulinho;7;2.5;0;0;0;0;0.2;0.2;0.4;0.6;6;8;24;5;1;20.0;66.7;4;3;1;8;12;0;1;1;3;0;1;0;140;140;86;528;180;1;104;5;2;71.4
